timestamp,ip,user_agent,path,method
2025-03-16 15:00:33,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 15:01:51,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 15:02:51,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 15:04:20,51.222.253.13,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),article/detail/344,GET
2025-03-16 15:06:33,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 15:06:51,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 15:08:35,51.222.253.6,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),company/detail/81/product/detail/616,GET
2025-03-16 15:09:14,152.58.139.255,"Mozilla/5.0 (Linux; Android 15; V2401 Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/133.0.6943.137 Mobile Safari/537.36",company/detail/139,GET
2025-03-16 15:09:21,157.47.84.67,"Mozilla/5.0 (Linux; Android 14; RMX3830 Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/133.0.6943.137 Mobile Safari/537.36",company/2,GET
2025-03-16 15:09:34,152.58.139.255,"Mozilla/5.0 (Linux; Android 15; V2401 Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/133.0.6943.137 Mobile Safari/537.36",login,GET
2025-03-16 15:11:55,72.14.201.152,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",article/detail/137,GET
2025-03-16 15:13:21,40.77.167.7,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",search,GET
2025-03-16 15:14:35,122.188.29.180,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",/,GET
2025-03-16 15:15:30,125.203.172.37,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Mobile Safari/537.36",/,GET
2025-03-16 15:16:34,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 15:18:54,185.213.173.44,Custom-AsyncHttpClient,/,GET
2025-03-16 15:20:36,106.219.240.144,"Mozilla/5.0 (Linux; Android 12; RMX3092 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/133.0.6943.138 Mobile Safari/537.36",member,GET
2025-03-16 15:20:48,52.167.144.216,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",product/detail/555,GET
2025-03-16 15:22:10,66.249.79.204,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.141 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",article/detail/165,GET
2025-03-16 15:22:34,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 15:23:44,147.92.179.112,facebookexternalhit/1.1;line-poker/1.0,article/detail/248,GET
2025-03-16 15:24:09,17.241.219.181,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)",product/detail/221,GET
2025-03-16 15:24:31,192.241.155.120,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/118.0,/,GET
2025-03-16 15:26:36,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 15:27:41,40.77.167.155,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",product/detail/845,GET
2025-03-16 15:29:14,49.109.161.173,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36",/,GET
2025-03-16 15:29:52,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 15:29:50,152.59.65.101,"Mozilla/5.0 (Linux; Android 14; SM-A156E Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/133.0.6943.137 Mobile Safari/537.36",login,GET
2025-03-16 15:30:26,147.92.179.112,facebookexternalhit/1.1;line-poker/1.0,article/detail/22,GET
2025-03-16 15:30:31,152.59.65.101,"Mozilla/5.0 (Linux; Android 14; SM-A156E Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/133.0.6943.137 Mobile Safari/537.36",product/detail/913,GET
2025-03-16 15:30:38,152.59.65.101,"Mozilla/5.0 (Linux; Android 14; SM-A156E Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/133.0.6943.137 Mobile Safari/537.36",/,GET
2025-03-16 15:31:59,106.221.124.71,"Mozilla/5.0 (Linux; Android 11; Infinix X689 Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/133.0.6943.137 Mobile Safari/537.36",member,GET
2025-03-16 15:32:35,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 15:33:39,40.77.167.155,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",article/detail/336,GET
2025-03-16 15:34:52,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 15:36:21,72.14.201.180,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",article/detail/248,GET
2025-03-16 15:37:35,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 15:39:35,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 15:40:35,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 15:40:50,52.167.144.19,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",search,GET
2025-03-16 15:41:58,185.242.226.75,Python/3.7 aiohttp/3.8.1,/,GET
2025-03-16 15:42:35,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 15:46:30,66.249.79.195,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.141 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",article/detail/101,GET
2025-03-16 15:47:35,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 15:49:53,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 15:53:35,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 15:58:47,85.208.96.199,Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html),company/detail/88/product/detail/716,GET
2025-03-16 16:04:36,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 16:06:01,111.119.244.94,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",article/detail/219,GET
2025-03-16 16:06:03,52.167.144.146,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",article/detail/246,GET
2025-03-16 16:10:10,49.14.120.173,"Mozilla/5.0 (Linux; Android 11; vivo 1818 Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/133.0.6943.137 Mobile Safari/537.36",product,GET
2025-03-16 16:10:27,49.14.120.173,"Mozilla/5.0 (Linux; Android 11; vivo 1818 Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/133.0.6943.137 Mobile Safari/537.36",product/detail/913,GET
2025-03-16 16:11:30,51.222.253.2,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),company/detail/114/product/detail/747,GET
2025-03-16 16:11:38,193.186.4.181,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",article/detail/436,GET
2025-03-16 16:19:56,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 16:23:55,196.251.92.90,python-requests/2.32.3,.env,GET
2025-03-16 16:27:54,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 16:28:54,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 16:28:55,114.250.49.169,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",article/detail/188,GET
2025-03-16 16:31:54,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 16:33:37,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 16:35:54,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 16:36:37,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 16:37:54,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 16:39:54,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 16:45:53,51.222.253.10,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),company/detail/130/product/detail/883,GET
2025-03-16 16:46:06,185.191.171.16,Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html),product/detail/252,GET
2025-03-16 16:49:21,51.222.253.1,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/),product/detail/364,GET
2025-03-16 16:53:27,52.167.144.147,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",search,GET
2025-03-16 16:56:21,185.191.171.6,Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html),article/detail/70,GET
2025-03-16 16:56:44,126.182.43.248,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1",article/detail/101,GET
2025-03-16 16:58:20,147.92.179.114,facebookexternalhit/1.1;line-poker/1.0,article/detail/3,GET
2025-03-16 16:59:17,52.167.144.179,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",search,GET
2025-03-16 16:59:21,52.167.144.147,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",search,GET
2025-03-16 17:01:14,17.241.219.185,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)",product/detail/569,GET
2025-03-16 17:01:18,52.167.144.147,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",search,GET
2025-03-16 17:02:00,52.167.144.147,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36",scene/detail/57,GET
2025-03-16 17:02:11,126.55.197.31,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",article/detail/203,GET
2025-03-16 17:02:38,172.31.43.200,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 17:04:55,172.31.8.254,ELB-HealthChecker/2.0,api/health-check,GET
2025-03-16 17:06:40,72.14.201.167,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",article/detail/190,GET
